Dataset,Model,MSE_mean,MSE_std,QLIKE_mean,QLIKE_std
NARMA10,AR1,0.006427138938429544,0.0009205904853938689,4.330653369690806,0.5190288349957838
NARMA10,AR3,0.006406876051866311,0.0010122329462711752,4.321513410401473,0.5274021515794198
NARMA10,HAR,0.006198777489368543,0.0010673785910228935,4.189719891673151,0.5309061003646102
NARMA10,RC,0.005944250229551593,0.0009127754760992286,4.045630607198541,0.4479296254683678
NARMA10,Classical-Ridge,0.0068702151532183025,0.0009230562451470503,4.601519886226046,0.3919333640385251
NARMA10,HPT-QRC,0.005752132633086317,0.0009284853406398469,3.816088984972127,0.43279865046639715
NARMA10,HPT-QRC (tuned),0.005335685409756123,0.0009182128899147166,3.593028339653297,0.4838926430184025
NARMA10,RFF+Ridge,0.005681763155853762,0.0009605388991541758,3.754105097029219,0.4003259764385838
NARMA10,HARX,0.00381616422180821,0.00047260904803600993,2.4100794223625264,0.24467538180721055
NARMA10,HPT-QRC-X,0.0003984550451164217,8.218459358208615e-05,0.3523007500608705,0.13832340878843724
NARMA10,RFF+Ridge-X,0.00043639796616553065,6.406580841457343e-05,0.39247233490852373,0.11210175670749749
Mackey_Glass,AR1,0.00121062448053643,6.200415629491089e-05,0.2067068693515893,0.016464840815194896
Mackey_Glass,AR3,6.5428567478009395e-06,4.141098810720895e-07,0.001067209072853803,7.983575885144847e-05
Mackey_Glass,HAR,0.00013777944046774044,8.523461768348793e-06,0.020232419457012707,0.001073533848315431
Mackey_Glass,RC,1.0526012392342112e-05,8.460840678905036e-07,0.0015611215472104867,0.00015949543983996407
Mackey_Glass,Classical-Ridge,0.0015961771357743703,7.530341156738089e-05,0.27258987389848766,0.02281052510128104
Mackey_Glass,HPT-QRC,1.0885475420066423e-06,1.7902082606530166e-07,0.00014716292358007976,2.276443965290985e-05
Mackey_Glass,HPT-QRC (tuned),3.290971792080861e-07,5.0835984647163533e-08,4.229673343010276e-05,8.551684442321626e-06
Mackey_Glass,RFF+Ridge,1.3240555381207706e-06,1.9701106692205256e-07,0.00018996393207797445,2.1504261636530515e-05
Mackey_Glass,HARX,9.202331429121524e-05,4.800232568049143e-06,0.014554669153600486,0.0006552342408574296
Mackey_Glass,HPT-QRC-X,7.192252727397819e-07,2.65889707128775e-07,0.00010511569290301281,4.7561227475026995e-05
Mackey_Glass,RFF+Ridge-X,7.544179739269722e-07,1.2618594713347464e-07,0.00010994710290423981,1.921325470959638e-05
SP500_RV,AR1,0.01134359203527869,0.0,0.9469349337246108,1.1102230246251565e-16
SP500_RV,AR3,0.010359712981496594,0.0,0.8663800957665606,0.0
SP500_RV,HAR,0.010481868618765202,0.0,0.8755495184621651,0.0
SP500_RV,RC,0.010729659593074503,0.00016641773043089708,0.907305441092217,0.016087513098602575
SP500_RV,Classical-Ridge,0.010949544147480433,0.0,0.9245714451805027,0.0
SP500_RV,HPT-QRC,0.013515911800209118,0.0009680899339213774,1.142379195524202,0.090344619470492
SP500_RV,HPT-QRC (tuned),0.010493294117627385,0.00010180267312626516,0.8774074963521802,0.00782535442212829
SP500_RV,RFF+Ridge,0.011517144955043976,0.0001480818278928979,0.96532900643608,0.013102947101793709
SP500_RV,HARX,0.010960143391995586,0.0,0.9303574579853775,0.0
SP500_RV,HPT-QRC-X,0.014749767022569601,0.000398306676124357,1.2652394512677072,0.03130886698612913
SP500_RV,RFF+Ridge-X,0.013281507058420544,0.001386137729137333,1.1185657167573388,0.12365282581747482
